Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2020-07-20,"2,664","11,757",6.17,16,747,267,13,41,"1,339"
2020-07-21,"2,595","10,773",6.5,26,809,235,11,33,"1,252"
2020-07-22,"2,097","4,773",2.12,4,846,210,0,0,687
2020-07-23,"3,190","16,443",8.63,27,595,299,50,70,"1,931"
2020-07-24,"2,584","9,909",4.4,5,742,373,0,0,"1,326"
2020-07-25,"2,209","4,350",1.93,5,702,185,8,0,754
2020-07-26,"2,449","8,250",3.67,4,667,258,34,4,"1,125"
2020-07-27,"2,285","6,428",2.86,6,724,241,0,0,857
2020-07-28,"2,898","13,031",7.92,20,691,264,19,51,"1,603"
2020-07-29,"2,079","6,251",2.61,2,730,197,0,0,704
2020-07-30,"2,561","8,614",5.32,21,700,220,23,37,"1,227"
2020-07-31,"2,605","13,310",6.97,24,735,196,35,60,"1,397"
